location, address
Slot0/Port0, 10.234.1.8
Slot0/Port1, 10.234.1.9
Slot0/Port2, 10.234.2.8
Slot0/Port3, 10.234.2.9
Slot0/Port4, 10.234.6.8
Slot0/Port5, 10.234.6.9
Slot0/Port6, 10.234.7.8
Slot0/Port7, 10.234.7.9
Slot1/Port0, 10.234.1.18
Slot1/Port1, 10.234.1.19
Slot1/Port2, 10.234.2.18
Slot1/Port3, 10.234.2.19
Slot1/Port4, 10.234.6.18
Slot1/Port5, 10.234.6.19
Slot1/Port6, 10.234.7.18
Slot1/Port7, 10.234.7.19
Slot2/Port0, 10.234.1.28
Slot2/Port1, 10.234.1.29
Slot2/Port2, 10.234.2.28
Slot2/Port3, 10.234.2.29
Slot2/Port4, 10.234.6.28
Slot2/Port5, 10.234.6.29
Slot2/Port6, 10.234.7.28
Slot2/Port7, 10.234.7.29
Slot3/Port0, 10.234.1.38
Slot3/Port1, 10.234.1.39
Slot3/Port2, 10.234.2.38
Slot3/Port3, 10.234.2.39
Slot3/Port4, 10.234.6.38
Slot3/Port5, 10.234.6.39
Slot3/Port6, 10.234.7.38
Slot3/Port7, 10.234.7.39
Slot6/Port0, 10.234.1.68
Slot6/Port1, 10.234.1.69
Slot6/Port2, 10.234.2.68
Slot6/Port3, 10.234.2.69
Slot6/Port4, 10.234.6.68
Slot6/Port5, 10.234.6.69
Slot6/Port6, 10.234.7.68
Slot6/Port7, 10.234.7.69
Slot7/Port0, 10.234.1.78
Slot7/Port1, 10.234.1.79
Slot7/Port2, 10.234.2.78
Slot7/Port3, 10.234.2.79
Slot7/Port4, 10.234.6.78
Slot7/Port5, 10.234.6.79
Slot7/Port6, 10.234.7.78
Slot7/Port7, 10.234.7.79
Slot8/Port0, 10.234.1.88
Slot8/Port1, 10.234.1.89
Slot8/Port2, 10.234.2.88
Slot8/Port3, 10.234.2.89
Slot8/Port4, 10.234.6.88
Slot8/Port5, 10.234.6.89
Slot8/Port6, 10.234.7.88
Slot8/Port7, 10.234.7.89
Slot9/Port0, 10.234.1.98
Slot9/Port1, 10.234.1.99
Slot9/Port2, 10.234.2.98
Slot9/Port3, 10.234.2.99
Slot9/Port4, 10.234.6.98
Slot9/Port5, 10.234.6.99
Slot9/Port6, 10.234.7.98
Slot9/Port7, 10.234.7.99
